store,item,unit,price_per_unit
Winco,Scallions,bag,0.82
Winco,Asparagus,each,3.92
Winco,Okra,bag,2.33
Winco,Potatoes,bunch,1.27
Winco,Peas,bunch,1.02
Winco,Broccoli,bunch,1.88
Winco,Leeks,bunch,1.29
Winco,Celery,each,1.73
Winco,Bell Peppers,pound,1.65
Winco,Cauliflower,pound,2.15
Winco,Cheese,bag, 4.15
Smiths,Ground Beef Roll 80/20,pound,6.99
Smiths,Ground Beef Roll 93/7,pound,8.99
Smiths,Pork Back Ribs,pound,3.99
Smiths,Boneless Chicken Breasts,pound,2.99
Smiths,Top Sirloin Steak,pound,13.99
Smiths,Filet Mignon,pound,21.99
Smiths,Beef Rib Roast (Bone‑in),pound,14.99
Smiths,Tri Tip Roast,pound,8.99
Smiths,Beef Shaved Steak,pound,7.49
Smiths,Ground Beef Roll 80/20,pound,6.99
Smiths,Ground Beef Roll 93/7,pound,8.99
Smiths,Pork Back Ribs,pound,3.99
Smiths,Boneless Chicken Breasts,pound,2.99
Smiths,Top Sirloin Steak,pound,13.99
Smiths,Filet Mignon,pound,21.99
Smiths,Beef Rib Roast (Bone‑in),pound,14.99
Smiths,Tri Tip Roast,pound,8.99
Smiths,Beef Shaved Steak,pound,7.49
Smiths,Chicken Drumsticks,pound,1.79
Smiths,Chicken Thighs,pound,1.89
Smiths,Salmon Fillet,pound,10.99
Smiths,Tilapia Fillet,pound,7.49
Smiths,Shrimp (Frozen),package,12.49
Smiths,Carrots,pound,0.89
Smiths,Broccoli,pound,1.99
Smiths,Cauliflower,each,2.49
Smiths,Romaine Lettuce,each,1.49
Smiths,Spinach,bag,2.99
Smiths,Zucchini,pound,1.29
Smiths,Bell Pepper (Red),each,1.50
Smiths,Yellow Onion,pound,0.79
Smiths,Russet Potatoes,each,2.99
Smiths,Sweet Potatoes,pound,1.19
Smiths,Apples (Fuji),pound,1.29
Smiths,Bananas,bunch, 2.67
Smiths,Oranges,pound,1.19
Smiths,Grapes (Red),pound,2.49
Smiths,Strawberries,package,2.99
Smiths,Blueberries,package,2.99
Smiths,Doritos Nacho Cheese,bag,3.99
Smiths,Lay's Classic Chips,bag,3.79
Smiths,Oreo Cookies,package,3.49
Smiths,Granola Bars,box,2.99
Smiths,Trail Mix,bag,5.49
Smiths,Coca-Cola (12-pack),pack,6.99
Smiths,Pepsi (2-liter),bottle,1.89
Smiths,Gatorade,bottle,1.49
Smiths,Bottled Water (24-pack),pack,4.29
Smiths,Orange Juice,gallon,5.49
Smiths,Avocado,each, 1.29
Smiths,Bottled Water (40-pack),pack,5.99
Smiths,Milk,gallon,2.99
